sample	strand	url
NT2DRIPc_fwd	+	https://S3-us-west-1.amazonaws.com/zeeus/hela_drip_lionel/nt2_dripca_pos.bw
NT2DRIPc_rev	-	https://s3-us-west-1.amazonaws.com/zeeus/HeLa_DRIP_Lionel/NT2_DRIPcA_neg.bw
